
 	 	 	 	 	 	 	 	 	 	 	
EXAM 	080 	40052 	  0.00 	Common Exam Period - I 	University City 	STAFF 	Lecture 	08:00 am - 08:50 am 	MWF 	 	
EXAM 	081 	40053 	  0.00 	Sophomore Common Exam Period 	University City 	STAFF 	Lecture 	08:00 am - 08:50 am 	TR 	 	
EXAM 	082 	41505 	  0.00 	Common Exam Period - III 	University City 	Eric F Fleming 	Lecture 	 	TBD 	 	
NFS 	100 	40513 	  2.00 	Nutrition, Foods, and Health 	University City 	Vicki S Schwartz 	Lecture 	11:00 am - 11:50 am 	MW 	 	Covers the six nutrient categories and how they function in the body. Includes nutritional implications of major diseases, food safety issues, and current food and nutrition controversies with an emphasis on personal health. 
PSCI 	100 	40629 	  4.00 	Introduction to Political Science 	University City 	William Lawrence Rosenberg 	Lecture 	10:00 am - 11:50 am 	MW 	 	Studies the political process, which determines who gets what, when, and how in society. 
MATH 	100 	41218 	  3.00 	Fundamentals of Mathematics 	University City 	Timothy  Hayes 	Lecture 	06:00 pm - 08:50 pm 	W 	 	Course covers properties of real numbers, algebraic expressions, rational expressions, linear and quadratic functions and graphs.  This course is intended to give students the background needed to enroll in MATH 101. 
DIGM 	100 	41424 	  3.00 	Digital Design Tools 	University City 	Kurt D Aspland 	Studio 	06:30 pm - 09:20 pm 	T 	 	Students learn the basics of visual design within the digital realm.  Software tools such as Adobe Photoshop and Illustrator are utilized. 
GSTD 	100 	42300 	  1.00 	Strategies for Academic Success 	University City 	Sa'eed K Abdul-Khabeer 	Lecture 	03:00 pm - 03:50 pm 	R 	 	This course explores the learning process to assist students in achieving academic success. Self-assessments, personal reflection, and relevant electronic resources are used to foster students¿ development as self-directed learners. Topics include: study skills, learning strategies, personal development, academic planning and tracking, visioning, and goal setting. The goal of this course is to help improve students¿ efficacy in the areas of academic self-management, self-direction, and resource utilization. 
MATH 	100 	40443 	  3.00 	Fundamentals of Mathematics 	Online 	Oksana P Odintsova 	Lecture 	 	TBD 	 	Course covers properties of real numbers, algebraic expressions, rational expressions, linear and quadratic functions and graphs.  This course is intended to give students the background needed to enroll in MATH 101. 
PSCI 	100 	41172 	  4.00 	Introduction to Political Science 	Online 	William Lawrence Rosenberg 	Lecture 	 	TBD 	 	Studies the political process, which determines who gets what, when, and how in society. 
NFS 	100 	42875 	  2.00 	Nutrition, Foods, and Health 	Online 	Robin M Danowski 	Lecture 	 	TBD 	 	Covers the six nutrient categories and how they function in the body. Includes nutritional implications of major diseases, food safety issues, and current food and nutrition controversies with an emphasis on personal health. 
CHEM 	101 	40025 	  0.00 	General Chemistry I 	University City 	Monica  Ilies, Susan Anne Rutkowsky 	Recitation/Discussion 	10:00 am - 10:50 am 	R 	DU Chemistry Placement Exam   Minimum Grade: 12 </span><span> or CHEM 111  Minimum Grade: D </span><span> or CHEM 050  Minimum Grade: D  	Covers fundamental principles of chemistry, stoichiometry, atomic and molecular structure, chemical bonding, states of matter, thermochemistry, and periodicity. 
PSY 	101 	40056 	  3.00 	General Psychology I 	University City 	Aimee Yuka W Kim 	Lecture 	12:30 pm - 01:50 pm 	TR 	 	Reviews the fundamental principles, concepts, and methods of psychology, with emphasis on the concepts of motivation, learning, and perception, and their psychological foundations. 
ITAL 	101 	40064 	  4.00 	Italian I 	University City 	Nadia  Magnanini 	Lecture 	09:00 am - 09:50 am 	MTWR 	 	Introductory Italian. Includes listening, speaking, reading, and writing. Offered all terms. 
JAPN 	101 	40065 	  4.00 	Japanese I 	University City 	Hiromi  Koyama 	Lecture & Lab 	02:00 pm - 03:50 pm 	MW 	 	Introductory Japanese. Includes listening and speaking, with individual audiolingual practice. Offered all terms. 
SPAN 	101 	40098 	  4.00 	Spanish I 	University City 	Joanna  Lyskowicz 	Lecture 	09:00 am - 09:50 am 	MTWR 	 	Introductory Spanish. Includes listening, speaking, reading, and writing. Offered all terms. 
GER 	101 	40116 	  4.00 	German I 	University City 	Simone  Schlichting-Artur 	Lecture 	09:00 am - 09:50 am 	MTWR 	 	Introductory German. Includes listening, reading, writing, and speaking. Offered all terms. 
ARBC 	101 	40318 	  4.00 	Arabic I 	University City 	Azhar A Jasim 	Lecture & Lab 	02:00 pm - 03:50 pm 	MW 	 	Introductory Arabic includes listening, speaking, reading and writing.  Offered all terms. 
RUSS 	101 	40336 	  4.00 	Russian I 	University City 	Olga A Yelkina 	Lecture 	02:00 pm - 03:50 pm 	MW 	 	Introductory Russian. Includes listening, speaking, and reading, with individual audiolingual practice. Offered all terms. 
KOR 	101 	40841 	  4.00 	Korean I 	University City 	Sunmi J Oh 	Lecture & Lab 	02:00 pm - 03:50 pm 	MW 	 	Introductory Korean.  Includes listening, speaking and writing, with individual audio-video practice. 
MATH 	101 	41216 	  4.00 	Introduction to Analysis I 	University City 	Vaishalee T Wadke 	Lecture 	10:00 am - 11:50 am 	MW 	DU Math 101 Placement Exam   Minimum Grade: 061 </span><span> or MATH 100  Minimum Grade: D  	Covers linear, quadratic, exponential, and logarithmic functions; systems of linear equations; elementary linear programming; matrix algebra; inverse; and mathematics of finance. 
BIO 	101 	41957 	  3.00 	Applied Biological Diversity, Ecology & Evolution 	University City 	Kevin Pw Smith 	Lecture 	01:00 pm - 01:50 pm 	MWF 	 	An interactive course for the non-major that discusses the variety of living things and how we ended up with them and what makes them unique.   This course also explores how living things affect each other and the world as well as the impacts that humans have on the living world.  This course is identical to BIO 109 
ARTH 	101 	42609 	  3.00 	History of Art I: Ancient to Medieval 	University City 	Marie N Pareja 	Lecture 	03:30 pm - 04:50 pm 	TR 	 	Traces the rise of Western civilization from ancient Egypt and Mesopotamia, through Greek and Roman culture to the late Middle Ages, with an emphasis on the evolution of style and symbolism in art. 
AFAS 	101 	42859 	  3.00 	Introduction to Africana Studies 	University City 	Yaba A Blay 	Lecture 	06:00 pm - 08:50 pm 	W 	 	Provides an overview of the experience, culture, and political practices of African descendants in the Americas and the Caribbean.  The course uses a multidisciplinary approach to introduce students to the history, art, music, and literature of the African Diaspora. 
JAPN 	101 	40102 	  4.00 	Japanese I 	University City 	Akiko Takamura Barnes 	Lecture & Lab 	04:00 pm - 05:50 pm 	TR 	 	Introductory Japanese. Includes listening and speaking, with individual audiolingual practice. Offered all terms. 
SPAN 	101 	40124 	  4.00 	Spanish I 	University City 	Carmen  Vicente 	Lecture 	06:00 pm - 07:50 pm 	TR 	 	Introductory Spanish. Includes listening, speaking, reading, and writing. Offered all terms. 
ANTH 	101 	40224 	  3.00 	Introduction to Cultural Diversity 	University City 	Judith A Storniolo 	Lecture 	11:00 am - 11:50 am 	MWF 	 	Examines the diversity that exists in human culture. Uses lectures, films, and discussions to examine and illustrate the relationship between humans and their social/cultural systems. 
PSY 	101 	40769 	  3.00 	General Psychology I 	University City 	Stephanie M Manasse 	Lecture 	09:00 am - 09:50 am 	MWF 	 	Reviews the fundamental principles, concepts, and methods of psychology, with emphasis on the concepts of motivation, learning, and perception, and their psychological foundations. 
KOR 	101 	41830 	  4.00 	Korean I 	University City 	Sunmi J Oh 	Lecture & Lab 	12:00 pm - 01:50 pm 	MW 	 	Introductory Korean.  Includes listening, speaking and writing, with individual audio-video practice. 
ANTH 	101 	40149 	  3.00 	Introduction to Cultural Diversity 	University City 	Robert Simms Powell 	Lecture 	07:00 pm - 09:50 pm 	M 	 	Examines the diversity that exists in human culture. Uses lectures, films, and discussions to examine and illustrate the relationship between humans and their social/cultural systems. 
JAPN 	101 	40163 	  4.00 	Japanese I 	University City 	Akiko Takamura Barnes 	Lecture & Lab 	06:00 pm - 07:50 pm 	TR 	 	Introductory Japanese. Includes listening and speaking, with individual audiolingual practice. Offered all terms. 
JAPN 	101 	40164 	  4.00 	Japanese I 	University City 	Michi T Davis 	Lecture & Lab 	02:00 pm - 03:50 pm 	TR 	 	Introductory Japanese. Includes listening and speaking, with individual audiolingual practice. Offered all terms. 
CHEM 	101 	40678 	  0.00 	General Chemistry I 	University City 	Monica  Ilies, Lee W Hoffman, Susan Anne Rutkowsky 	Lab 	03:00 pm - 04:50 pm 	T 	DU Chemistry Placement Exam   Minimum Grade: 12 </span><span> or CHEM 111  Minimum Grade: D </span><span> or CHEM 050  Minimum Grade: D  	Covers fundamental principles of chemistry, stoichiometry, atomic and molecular structure, chemical bonding, states of matter, thermochemistry, and periodicity. 
SMT 	101 	41219 	  3.00 	Principles of Coaching 	University City 	Amy  Giddings 	Lecture 	06:00 pm - 08:50 pm 	M 	 	This course will include setting performance goals in coaching, the various roles of the coach, ethical conduct in coaching, the psychology of coaching, coach-athlete compatibility, coaching burnout, personality of the coach, and coaching youth sports.  An emphasis is places on conducting practices and competitions to enhance the social-emotional growth of athletes. 
CMGT 	101 	42526 	  3.00 	Introduction to Construction Management 	University City 	James M Tsafos 	Lecture 	06:30 pm - 09:20 pm 	T 	 	This course will introduce the basic history and management concepts of the construction industry to students with the expectation that upon completion students will have an overview of the industry.   Career choices, industry firms, and key players in the Construction Management process will be explored. 
PSY 	101 	40510 	  3.00 	General Psychology I 	Online 	Douglas L Chute 	Lecture 	 	TBD 	 	Reviews the fundamental principles, concepts, and methods of psychology, with emphasis on the concepts of motivation, learning, and perception, and their psychological foundations. 
ENGL 	101 	40876 	  3.00 	Composition and Rhetoric I: Inquiry and Exploratory Research 	Online 	Donald Albert Riggs 	Lecture 	 	TBD 	 	Develops students' abilities to use writing as a tool for inquiry as they think through open-ended questions. Introduces them to rhetorical concepts and terms¿exigence, audience, context, argument, and appeals¿that they will apply in their writing and critical reading. Teaches them how to find, evaluate, integrate, and document sources from a variety of media; and how to engage in the many stages of the research and writing processes, from invention, to review, to final product. Engages them in ongoing reflective analysis about writing and their writing development. 
ANTH 	101 	41002 	  3.00 	Introduction to Cultural Diversity 	Online 	Robert Simms Powell 	Lecture 	 	TBD 	 	Examines the diversity that exists in human culture. Uses lectures, films, and discussions to examine and illustrate the relationship between humans and their social/cultural systems. 
MBC 	101 	40866 	  3.00 	Medical Terminology for Billers and Coders 	Online 	Katherine E Abel 	Lecture 	 	TBD 	 	This course covers medical terminology and anatomy from a biller's and coder's perspective and provides a foundation for courses in medical billing and coding. 
PBHL 	101 	42462 	  3.00 	Public Health 101 	Online 	Jennifer Rae Breaux-Kutcher 	Seminar 	 	TBD 	 	Introduction to Public Health is a broad overview class designed to give an introduction to the core tenets of Public Health. Basic concepts covered in the class are the basic definitions and concepts related to public health. Specific areas that will be further explored in the class include, what it means to be healthy, what is public health, what are social determinants of health, what is disease prevention and health promotion and what are health inequalities among others. 
PSY 	101 	42749 	  3.00 	General Psychology I 	Online 	Christopher M King 	Lecture 	 	TBD 	 	Reviews the fundamental principles, concepts, and methods of psychology, with emphasis on the concepts of motivation, learning, and perception, and their psychological foundations. 
CHEM 	101 	40677 	  3.50 	General Chemistry I 	University City 	Monica  Ilies, Susan Anne Rutkowsky 	Lecture 	12:00 pm - 12:50 pm 	MW 	DU Chemistry Placement Exam   Minimum Grade: 12 </span><span> or CHEM 111  Minimum Grade: D </span><span> or CHEM 050  Minimum Grade: D  	Covers fundamental principles of chemistry, stoichiometry, atomic and molecular structure, chemical bonding, states of matter, thermochemistry, and periodicity. 
JAPN 	102 	40066 	  4.00 	Japanese II 	University City 	Natsumi Takiguchi Shor 	Lecture & Lab 	04:00 pm - 05:50 pm 	MW 	JAPN 101  Minimum Grade: C  	Continues JAPN 101. Offered all terms. 
ITAL 	102 	40206 	  4.00 	Italian II 	University City 	Nadia  Magnanini 	Lecture 	10:00 am - 10:50 am 	MTWR 	ITAL 101  Minimum Grade: C  	Continues ITAL 101. Offered all terms. 
ARBC 	102 	40320 	  4.00 	Arabic II 	University City 	Azhar A Jasim 	Lecture & Lab 	04:00 pm - 05:50 pm 	MW 	ARBC 101  Minimum Grade: C  	Continues ARBC 101.  Offered all terms. 
MATH 	102 	40444 	  4.00 	Introduction to Analysis II 	University City 	Raymond John Favocci 	Lecture 	02:00 pm - 03:50 pm 	MW 	MATH 101  Minimum Grade: D  	Covers limits, continuity, derivatives, indefinite and definite integrals, and applications. 
PHYS 	102 	40582 	  0.00 	Fundamentals of Physics II 	University City 	Matthew Terence Mawhinney, Alexey Mihailovich Aprelev 	Recitation/Discussion 	10:00 am - 10:50 am 	WF 	PHYS 101  Minimum Grade: D </span><span> and MATH 122  Minimum Grade: D  	Second of a four course sequence teaching fundamental physics to engineering and science majors.  Topics include: electrostatics, capacitors, charges in motion, insulators, semiconductors, conductors, superconductors, voltage and current measurements, magnetism, electromagnetic induction, magnetic materials, quantum dots, magnetic resonance phenomenon. 
KOR 	102 	40842 	  4.00 	Korean II 	University City 	Sunmi J Oh 	Lecture & Lab 	04:00 pm - 05:50 pm 	MW 	KOR 101  Minimum Grade: C  	Introductory Korean.  Includes listening, speaking and writing, with individual audio-video practice.  Builds on Korean 101 
ARTH 	102 	40933 	  3.00 	History of Art II: High Renaissance to Modern 	University City 	Joseph Franklin Gregory 	Lecture 	12:30 pm - 01:50 pm 	TR 	 	Surveys painting and sculpture created between the 15th century and the mid-19th century, placing artists such as Donatello, Michelangelo, Rubens, and Rembrandt in the context of the evolution of style and symbolism in Western culture. 
LING 	102 	42012 	  3.00 	Language and Society 	University City 	Rakhmiel  Peltz 	Lecture 	06:30 pm - 09:20 pm 	T 	 	Develops understanding of how language is involved with relations of class, ethnicity, gender and aesthetics in society.  The course covers the social investigation of language use, politeness in languages, different varieties of English dialects, slang, and rap, bilingualism and languages in immigrant communities, and language planning. 
PHIL 	102 	42644 	  3.00 	Introduction to Eastern Philosophy 	University City 	Roger John Magyar 	Lecture 	02:00 pm - 03:20 pm 	TR 	 	Introduction to the main topics of study in Buddhist, Hindu and other systems of Eastern thought. 
MATH 	102 	40068 	  4.00 	Introduction to Analysis II 	University City 	Marna A Mozeff 	Lecture 	06:00 pm - 07:50 pm 	MW 	MATH 101  Minimum Grade: D  	Covers limits, continuity, derivatives, indefinite and definite integrals, and applications. 
ENGL 	102 	40307 	  3.00 	Composition and Rhetoric II: The Craft of Persuasion 	University City 	Sharon M Brubaker 	Lecture 	06:30 pm - 07:50 pm 	TR 	ENGL 101  Minimum Grade: D  	Teaches terminology and rhetorical strategies of persuasive writing. Advances students¿ development in the writing process, and promotes their critical evaluation and integration of varied sources as they research complex and open-ended problems. Engages them in the act and study of collaboration, rhetorical awareness of images and design, and an understanding of how genres shape writing. Continues to promote their critical reading of challenging texts. Supports students in ongoing reflective analysis about writing and their writing development. 
PHYS 	102 	40583 	  0.00 	Fundamentals of Physics II 	University City 	Joseph P Glaser, Alexey Mihailovich Aprelev 	Recitation/Discussion 	11:00 am - 11:50 am 	WF 	PHYS 101  Minimum Grade: D </span><span> and MATH 122  Minimum Grade: D  	Second of a four course sequence teaching fundamental physics to engineering and science majors.  Topics include: electrostatics, capacitors, charges in motion, insulators, semiconductors, conductors, superconductors, voltage and current measurements, magnetism, electromagnetic induction, magnetic materials, quantum dots, magnetic resonance phenomenon. 
JAPN 	102 	41827 	  4.00 	Japanese II 	University City 	Natsumi Takiguchi Shor 	Lecture & Lab 	02:00 pm - 03:50 pm 	TR 	JAPN 101  Minimum Grade: C  	Continues JAPN 101. Offered all terms. 
ENGL 	102 	40306 	  3.00 	Composition and Rhetoric II: The Craft of Persuasion 	University City 	Valerie A Booth 	Lecture 	06:00 pm - 08:50 pm 	T 	ENGL 101  Minimum Grade: D  	Teaches terminology and rhetorical strategies of persuasive writing. Advances students¿ development in the writing process, and promotes their critical evaluation and integration of varied sources as they research complex and open-ended problems. Engages them in the act and study of collaboration, rhetorical awareness of images and design, and an understanding of how genres shape writing. Continues to promote their critical reading of challenging texts. Supports students in ongoing reflective analysis about writing and their writing development. 
